,rank,pp,playerName,acc1,pp1,scoreRank1,acc2,pp2,scoreRank2,acc3,pp3,scoreRank3,acc4,pp4,scoreRank4,acc5,pp5,scoreRank5,acc6,pp6,scoreRank6,acc7,pp7,scoreRank7,acc8,pp8,scoreRank8,acc9,pp9,scoreRank9,acc10,pp10,scoreRank10,avgTopAcc,avgAcc,avgStars
0,4466,6584.8,/76561198357821968,0.8712916849231165,302.188,785,0.8824544606900827,296.575,1086,0.9059279568875863,248.941,391,0.917784783307179,244.954,1521,0.9055455317714952,244.547,1265,0.9284118157823614,244.149,454,0.8964654363465749,243.194,1281,0.9105468807164913,240.345,1977,0.9315879363667264,238.628,1510,0.9161363253326537,237.242,1588,0.9066152812124267,0.8454296878582929,7.857000000000001
1,4491,6566.11,/76561198233269488,0.9343658469576394,269.888,805,0.9281606251737813,265.622,1194,0.9355629234539427,250.635,1055,0.93077718413219,250.171,188,0.9185995444842765,247.438,594,0.8878198658007833,245.091,485,0.9238511732290121,243.198,1008,0.9298956607088243,242.117,413,0.9173273873868567,241.223,519,0.9156951042151624,240.788,477,0.922205531554247,0.8760263473186947,7.002
2,4507,6556.37,/76561198029061187,0.9335897069430272,281.956,878,0.923470827829703,278.552,407,0.904914311259504,264.168,543,0.9034201887501856,263.081,1045,0.9134553134455659,262.577,1576,0.9249158507076651,258.469,1335,0.9033442909062062,252.689,754,0.930181539285275,247.384,1419,0.9218269431303031,246.36,1603,0.8883469219716172,244.897,341,0.9147465894229054,0.8665322059605483,7.603
3,4530,6539.05,/76561198105859621,0.9233867758388034,284.514,703,0.9319829057307112,266.751,628,0.8783880429105227,255.672,881,0.9125946487433333,252.537,622,0.9306588399464096,251.11,1482,0.8805075972042632,249.077,1126,0.8732452769608596,245.726,1146,0.8755601683739906,244.64,922,0.9307732611245833,243.049,688,0.8621199250779253,241.959,1135,0.8999217441911401,0.8507416233748164,8.075
4,4609,6477.14,/76561199224854657,0.9582717242383527,513.763,14,0.9649841418839158,503.12,8,0.9492271099076393,497.573,37,0.9523850581042257,485.08,54,0.9732563548307659,481.62,18,0.951692842409576,479.231,40,0.9504472341129007,472.092,41,0.9622672374925687,471.27,18,0.944838904007146,469.336,127,0.973242420416123,465.202,40,0.9580613027403212,0.940516085095156,10.414
5,4694,6412.3,/76561198401250577,0.8858344353208789,274.42,1114,0.8936379423313952,255.542,968,0.9024191354822427,247.305,1912,0.8862291034068538,244.455,1578,0.8586421075176698,244.345,1332,0.8605521948992478,240.869,1144,0.9094454580891578,239.866,667,0.8805280024900983,239.426,1438,0.8741492049896945,239.2,1636,0.9104224658209139,238.452,1826,0.8861860050348153,0.8034537652879951,8.438999999999998
6,4711,6402.34,/76561198093816862,0.9340166052777402,269.317,816,0.9139371757800566,265.665,607,0.901359124078494,252.517,384,0.8962617297882279,250.996,843,0.9154107017500969,250.356,593,0.9173598839708318,248.546,935,0.8923226636082439,248.318,1185,0.8897252568592348,240.427,839,0.9140394599291609,239.609,1548,0.9176622309584354,239.582,706,0.9092094832000521,0.8608808277179821,7.552000000000001
7,4774,6364.27,/76561198005475869,0.9199929566097815,260.562,960,0.9022927670407258,252.575,1233,0.9092273316303948,247.885,819,0.9221410628019324,246.106,437,0.8995216312277042,240.412,1426,0.9227375613782802,239.825,1967,0.9193512279700634,237.936,1752,0.9047167662175302,232.812,714,0.908548769137801,232.499,1676,0.9213612620569844,232.208,1347,0.9129891336071199,0.8451784561764528,7.161
8,4837,6321.93,/76561198280446673,0.9395008877035762,266.826,567,0.9201195268846345,257.944,1216,0.9294102111781894,256.311,1704,0.9085105737431354,253.916,935,0.9325394273556182,252.14,303,0.8792858176904889,244.822,1166,0.9202316649894231,243.327,1037,0.9184169095371006,240.22,1516,0.9149946094085543,239.173,818,0.9065356253134754,238.937,929,0.9169545253804194,0.8451124295100345,7.209999999999999
9,4853,6313.29,/76561199240296725,0.9390624154589372,272.045,184,0.9223700613122344,270.691,889,0.9228125279076809,270.325,741,0.9166206830939017,258.244,561,0.9031581038957813,254.69,1320,0.8942395124538206,252.054,1521,0.9356118239733883,251.866,512,0.8987923129153094,251.451,1031,0.9358857459868135,251.121,337,0.9358148805084268,251.015,1044,0.9204368067506294,0.8997521613899626,7.322999999999999
